soi,requirement,frequency
topsis,req_31,0.0
topsis,req_32,0.0
topsis,req_33,0.0
topsis,req_34,0.0
topsis,req_35,0.0
topsis,req_36,0.0
topsis,req_37,0.0
topsis,req_38,0.0
topsis,req_39,0.5
topsis,req_40,0.0
topsis,req_41,0.0
topsis,req_42,1.0
weight,req_1,0.2
weight,req_2,0.7
weight,req_3,0.5
weight,req_4,0.0
weight,req_5,0.3
weight,req_6,0.0
weight,req_7,0.2
weight,req_8,0.0
weight,req_9,0.0
weight,req_10,0.0
weight,req_11,0.0
weight,req_12,0.0
weight,req_13,0.4
weight,req_14,0.3
weight,req_15,0.4
weight,req_16,0.9
weight,req_17,0.6
weight,req_18,1.0
weight,req_19,1.0
weight,req_20,0.1
weight,req_21,0.0
weight,req_22,0.0
weight,req_23,0.1
weight,req_24,0.7
weight,req_25,0.7
weight,req_26,0.1
weight,req_27,0.7
weight,req_28,0.1
weight,req_29,0.0
weight,req_30,0.0
weight,req_31,0.0
weight,req_32,0.0
weight,req_33,0.0
weight,req_34,0.0
weight,req_35,0.0
weight,req_36,0.0
weight,req_37,0.0
weight,req_38,0.3
weight,req_39,0.6
weight,req_40,0.0
weight,req_41,0.1
weight,req_42,0.7
con50,req_1,0.17647058823529413
con50,req_2,0.7647058823529411
con50,req_3,0.5294117647058824
con50,req_4,0.0
con50,req_5,0.23529411764705882
con50,req_6,0.0
con50,req_7,0.17647058823529413
con50,req_8,0.0
con50,req_9,0.0
con50,req_10,0.0
con50,req_11,0.0
con50,req_12,0.0
con50,req_13,0.5294117647058824
con50,req_14,0.23529411764705882
con50,req_15,0.5294117647058824
con50,req_16,0.8823529411764706
con50,req_17,0.5882352941176471
con50,req_18,0.9411764705882353
con50,req_19,1.0
con50,req_20,0.058823529411764705
con50,req_21,0.0
con50,req_22,0.0
con50,req_23,0.058823529411764705
con50,req_24,0.7647058823529411
con50,req_25,0.7058823529411765
con50,req_26,0.058823529411764705
con50,req_27,0.7647058823529411
con50,req_28,0.058823529411764705
con50,req_29,0.0
con50,req_30,0.0
con50,req_31,0.0
con50,req_32,0.0
con50,req_33,0.0
con50,req_34,0.0
con50,req_35,0.0
con50,req_36,0.0
con50,req_37,0.0
con50,req_38,0.23529411764705882
con50,req_39,0.4117647058823529
con50,req_40,0.0
con50,req_41,0.058823529411764705
con50,req_42,0.7647058823529411
con75,req_1,0.14285714285714285
con75,req_2,1.0
con75,req_3,0.8571428571428571
con75,req_4,0.0
con75,req_5,0.2857142857142857
con75,req_6,0.0
con75,req_7,0.2857142857142857
con75,req_8,0.0
con75,req_9,0.0
con75,req_10,0.0
con75,req_11,0.0
con75,req_12,0.0
con75,req_13,0.2857142857142857
con75,req_14,0.0
con75,req_15,0.2857142857142857
con75,req_16,1.0
con75,req_17,0.5714285714285714
con75,req_18,1.0
con75,req_19,1.0
con75,req_20,0.14285714285714285
con75,req_21,0.0
con75,req_22,0.0
con75,req_23,0.14285714285714285
con75,req_24,1.0
con75,req_25,1.0
con75,req_26,0.14285714285714285
con75,req_27,1.0
con75,req_28,0.14285714285714285
con75,req_29,0.0
con75,req_30,0.0
con75,req_31,0.0
con75,req_32,0.0
con75,req_33,0.0
con75,req_34,0.0
con75,req_35,0.0
con75,req_36,0.0
con75,req_37,0.0
con75,req_38,0.0
con75,req_39,0.5714285714285714
con75,req_40,0.0
con75,req_41,0.0
con75,req_42,1.0
con90,req_1,0.25
con90,req_2,1.0
con90,req_3,1.0
con90,req_4,0.0
con90,req_5,0.25
con90,req_6,0.0
con90,req_7,0.5
con90,req_8,0.0
con90,req_9,0.0
con90,req_10,0.0
con90,req_11,0.0
con90,req_12,0.0
con90,req_13,0.0
con90,req_14,0.0
con90,req_15,0.0
con90,req_16,1.0
con90,req_17,0.5
con90,req_18,1.0
con90,req_19,1.0
con90,req_20,0.25
con90,req_21,0.0
con90,req_22,0.0
con90,req_23,0.25
con90,req_24,1.0
